isin,nemo,frecuencia,moneda
COL40CB80233,BPEMINHTA4,PV,COP
COL17CB0YRC4,BPEMINHTA4,PV,COP
COL40CB04RI6,BPEMINHTA4,PV,COP
COL40CB00D11,BPEMINHTA4,PV,COP
COL40CB93079,BPEMINHTA3,PV,COP
COL40CB0C4G3,BPEISSA3,PV,COP
COL40CB05EU6,BPEMINHTA4,PV,COP
COL17CB0Q9X9,BPEMINHTA4,PV,COP
COL17CB0TZG8,BPEMINHTA4,PV,COP
COL17CB0SJ20,BPEMINHTA3,PV,COP
COL17CB0NNE2,BPEMINHTA4,PV,COP
COL40CB01T61,BPEMINHTA4,PV,COP
COL17CB0TZC7,BPEMINHTA4,PV,COP
COL40CB83583,BPEMINHTA4,PV,COP
COL17CB0XSJ9,BPEMINHTA4,PV,COP
COL17CB0TXY6,BPEMINHTA4,PV,COP
COL17CB0QWG1,BPEMINHTA3,PV,COP
COL17CB0GL38,BPEMINHTA4,PV,COP
COL17CB0WVT4,BPEMINHTA4,PV,COP
COL40CB03FO1,BPEMINHTA4,PV,COP
COL40CB00CR7,BPEMINHTA4,PV,COP
COL17CB0YNG4,BPEMINHTA4,PV,COP
COL17CB0GHT6,BPEMINHTA3,PV,COP
COL17CB0ULY9,BPEMINHTA3,PV,COP
COL40CB027Z7,BPEMINHTA3,PV,COP
COL17CB0IMU0,BPEMINHTA4,PV,COP
COL40CB43991,BPEMINHTA4,PV,COP
COL17CB0KKX4,BPEMINHTA4,PV,COP
COL40CB91263,BPEMINHTA4,PV,COP
COL17CB0VMT5,BPEMINHTA4,PV,COP
COL40CB02S20,BPEMINHTA4,PV,COP
COL17CB0MNX4,BPEMINHTA4,PV,COP
COL17CB0NB56,BPEMINHTA4,PV,COP
COL40CB038H2,BPEMINHTA4,PV,COP
COL17CB0UWM1,BPEMINHTA3,PV,COP
COL40CB04I95,BPEMINHTA4,PV,COP
COL17CB0YFT3,BPEMINHTA4,PV,COP
COL17CB0MFV4,BPEMINHTA4,PV,COP
COL40CB99969,BPEMINHTA4,PV,COP
COL40CB04GK5,BPEMINHTA4,PV,COP
COL17CB0YCW4,BPEMINHTA4,PV,COP
COL40CB04UV3,BPEMINHTA4,PV,COP
COL17CB0PMH2,BPEMINHTA4,PV,COP
COL17CB0G4D4,BPEMINHTA4,PV,COP
COL17CB0LFH5,BPEMINHTA4,PV,COP
COL17CB0U1V4,BPEMINHTA3,PV,COP
COL17CB0WXL7,BPEMINHTA4,PV,COP
COL40CB03MT6,BPEMINHTA4,PV,COP
COL17CB0UL14,BPEMINHTA4,PV,COP
COL17CB0GMA6,BPEMINHTA4,PV,COP
COL17CB0NEU7,BPEMINHTA4,PV,COP
COL40CB99555,BPEMINHTA4,PV,COP
COL40CB03MS8,BPEMINHTA4,PV,COP
COL17CB0WXK9,BPEMINHTA4,PV,COP
COL17CB0FSI8,BPEMINHTA4,PV,COP
COL40CB00JL5,BPEMINHTA4,PV,COP
COL40CB04YF8,BPEMINHTA4,PV,COP
COL40CB03U58,BPEMINHTA4,PV,COP
COL17CB0V2I8,BPEMINHTA4,PV,COP
COL40CB02I71,BPEMINHTA4,PV,COP
COL17CB0MIV8,BPEMINHTA4,PV,COP
COL17CB0FIP4,BPEMINHTA4,PV,COP
COL17CB0UWT6,BPEMINHTA4,PV,COP
COL40CB05EA8,BPEMINHTA4,PV,COP
COL17CB0NNL7,BPEMINHTA4,PV,COP
COL40CB03NH9,BPEMINHTA4,PV,COP
COL17CB0WZQ1,BPEMINHTA4,PV,COP
COL17CB0GFB8,BPEMINHTA4,PV,COP
COL17CB0PJH8,BPEMINHTA4,PV,COP
COL17CB0YNM2,BPEMINHTA4,PV,COP
COL17CB0GEN6,BPEMINHTA4,PV,COP
COL40CB23837,BPEMINHTA4,PV,COP
COL17CB0G2L1,BPEMINHTA4,PV,COP
COL17CB0G2N7,BPEMINHTA4,PV,COP
COL17CB0VMR9,BPEMINHTA4,PV,COP
COL40CB02S12,BPEMINHTA4,PV,COP
COL40CB00CO4,BPEMINHTA4,PV,COP
COL17CB0YNI0,BPEMINHTA4,PV,COP
COL40CB04MB2,BPEMINHTA4,PV,COP
COC06CB00108,BPEMINHTA4,PV,COP
COL17CB0OAX7,BPEMINHTA4,PV,COP
COL40CB81744,BPEMINHTA4,PV,COP
COL17CB0XV84,BPEMINHTA4,PV,COP
COL40CB93129,BPEMINHTA4,PV,COP
COL17CB0GE94,BPEMINHTA4,PV,COP
COL40CB039J6,BPEMINHTA4,PV,COP
COL40CB92436,BPEMINHTA3,PV,COP
COL40CB04HN7,BPEMINHTA3,PV,COP
COL17CB0YEW0,BPEMINHTA3,PV,COP
COL17CB0YQW4,BPEMINHTA4,PV,COP
COL40CB04OI3,BPEMINHTA4,PV,COP
COL17CB0WW92,BPEMINHTA4,PV,COP
COL17CB0MLH1,BPEMINHTA4,PV,COP
COL40CB03NM9,BPEMINHTA4,PV,COP
COL17CB0WZY5,BPEMINHTA4,PV,COP
COL40CB80738,BPEMINHTA4,PV,COP
COL17CB0OA15,BPEMINHTA4,PV,COP
COL40CB039L2,BPEMINHTA4,PV,COP
COL17CB0MIX4,BPEMINHTA4,PV,COP
COL17CB0LRB3,BPEMINHTA4,PV,COP
COL40CB63031,BPEMINHTA4,PV,COP
COL40CB93103,BPEMINHTA4,PV,COP
COL40CB05D08,BPEMINHTA4,PV,COP
COL40CB00DW5,BPEMINHTA4,PV,COP
COL40CB93087,BPEMINHTA4,PV,COP
COL17CB0U2C2,BPEMINHTA4,PV,COP
COL40CB86552,BPEMINHTA4,PV,COP
COL17CB0UMV3,BPEMINHTA4,PV,COP
COL17CB0TZW5,BPEMINHTA4,PV,COP
COL17CB0KC33,BPEMINHTA4,PV,COP
COL40CB94754,BPEMINHTA4,PV,COP
COL17CB0TXT6,BPEMINHTA4,PV,COP
COL40CB93111,BPEMINHTA4,PV,COP
COL40CB81710,BPEMINHTA4,PV,COP
COL17CB0MH77,BPEMINHTA4,PV,COP
COL17CB0N7A4,BPEMINHTA4,PV,COP
COL17CB0JFS6,BPEMINHTA4,PV,COP
COL17CB0TB27,BPEMINHTA4,PV,COP
COL17CB0UK15,BPEMINHTA4,PV,COP
COL40CB026V8,BPEMINHTA4,PV,COP
COL17CB0MZH1,BPEMINHTA4,PV,COP
COL17CB0I8U7,BPEMINHTA4,PV,COP
COL17CB0KGT0,BPEMINHTA4,PV,COP
COL17CB0VMA5,BPEMINHTA4,PV,COP
COL17CB0GEP1,BPEMINHTA4,PV,COP
COL40CB91693,BPEMINHTA4,PV,COP
COL40CB058E7,BPEMINHTA4,PV,COP
COL17CB0U9L8,BPEMINHTA4,PV,COP
COL17CB0L615,BPEMINHTA4,PV,COP
COL17CB0MJ91,BPEMINHTA4,PV,COP
COL17CB0N5S0,BPEMINHTA4,PV,COP
COL40CB65044,BPEMINHTA3,PV,COP
COL17CB0XW26,BPEMINHTA4,PV,COP
COL40CB046Y0,BPEMINHTA4,PV,COP
COL17CB0UJC9,BPEMINHTA4,PV,COP
COL17CB0D505,BPEMINHTA4,PV,COP
COL40CB03TU9,BPEMINHTA4,PV,COP
COL17CB0UL63,BPEMINHTA4,PV,COP
COL40CB027M5,BPEMINHTA4,PV,COP
COL17CB0N5T8,BPEMINHTA4,PV,COP
COL40CB91271,BPEMINHTA4,PV,COP
COL40CB94614,BPEMINHTA4,PV,COP
COL17CB0S586,BPEMINHTA4,PV,COP
COL40CB00QC9,BPEMINHTA4,PV,COP
COL40CB04P96,BPEMINHTA4,PV,COP
COL17CB0YIZ4,BPEMINHTA4,PV,COP
COL17CB0PM51,BPEMINHTA4,PV,COP
COL17CB0YZ63,BPEMINHTA4,PV,COP
COL17CB0U2A6,BPEMINHTA4,PV,COP
COL17CB0QWO5,BPEMINHTA4,PV,COP
COL40CB039W9,BPEMINHTA4,PV,COP
COL17CB0XRI3,BPEMINHTA4,PV,COP
COL17CB0L334,BPEMINHTA3,PV,COP
COL40CB58460,BPEMINHTA3,PV,COP
COL40CB03AM6,BPEMINHTA4,PV,COP
COL40CB04ZV2,BPEMINHTA4,PV,COP
COL40CB01SQ3,BPEMINHTA4,PV,COP
COL17CB0TY79,BPEMINHTA4,PV,COP
COL40CB03MU4,BPEMINHTA4,PV,COP
COL17CB0WXM5,BPEMINHTA4,PV,COP
COL40CB00D45,BPEMINHTA4,PV,COP
COL40CB02A46,BPEMINHTA4,PV,COP
COL17CB0UOX5,BPEMINHTA4,PV,COP
COL40CB67032,BPEMINHTA4,PV,COP
COL17CB0MC15,BPEMINHTA4,PV,COP
COL17CB0TYF3,BPEMINHTA4,PV,COP
COL40CB01SU5,BPEMINHTA4,PV,COP
COL17CB0TZE3,BPEMINHTA4,PV,COP
COL40CB03A78,BPEMINHTA4,PV,COP
COL17CB0WBB4,BPEMINHTA4,PV,COP
COL17CB0TW06,BPEMINHTA3,PV,COP
COL17CB0D7D0,BPEMINHTA3,PV,COP
COL17CB0U251,BPEMINHTA3,PV,COP
COL17CB0TZF0,BPEMINHTA4,PV,COP
COL40CB00CC9,BPEMINHTA3,PV,COP
COL17CB0MZY6,BPEMINHTA4,PV,COP
COL17CB0UHG4,BPEMINHTA3,PV,COP
COL17CB0TB35,BPEMINHTA4,PV,COP
COL40CB00O67,BPEMINHTA4,PV,COP
COL40CB028C4,BPEMINHTA4,PV,COP
COL17CB0UM39,BPEMINHTA4,PV,COP
COL40CB92634,BPEMINHTA4,PV,COP
COL40CB039O6,BPEMINHTA4,PV,COP
COL17CB0WA15,BPEMINHTA4,PV,COP
COL40CB83906,BPEMINHTA4,PV,COP
COL17CB0TXZ3,BPEMINHTA4,PV,COP
COL17CB0YR22,BPEMINHTA4,PV,COP
COL40CB05ME3,BPEMINHTA4,PV,COP
COL40CB03TW5,BPEMINHTA4,PV,COP
COL17CB0XQS4,BPEMINHTA4,PV,COP
COL40CB93137,BPEMINHTA4,PV,COP
COL17CB0MZT6,BPEMINHTA4,PV,COP
COL40CB63486,BPEMINHTA4,PV,COP
COL40CB92642,BPEMINHTA4,PV,COP
COL17CB0TZH6,BPEMINHTA4,PV,COP
COL40CB33513,BPEMINHTA4,PV,COP
COL17CB0HRF2,BPEMINHTA4,PV,COP
COL17CB0TL66,BPEMINHTA4,PV,COP
COL40CB037W3,BPEMINHTA4,PV,COP
COL17CB0W8B9,BPEMINHTA4,PV,COP
COL17CB0VMW9,BPEMINHTA4,PV,COP
COL40CB02S46,BPEMINHTA4,PV,COP
COL17CB0NAX9,BPEMINHTA4,PV,COP
COL40CB00PG2,BPEMINHTA4,PV,COP
COL17CB0S3K7,BPEMINHTA4,PV,COP
COL17CB0MII5,BPEMINHTA4,PV,COP
COL17CB0S3L5,BPEMINHTA4,PV,COP
COL40CB00PH0,BPEMINHTA4,PV,COP
COL40CB89291,BPEMINHTA4,PV,COP
COL40CB92063,BPEMINHTA4,PV,COP
COL17CB0TD33,BPEMINHTA4,PV,COP
COL40CB01H16,BPEMINHTA4,PV,COP
COL40CB04H62,BPEMINHTA4,PV,COP
COL17CB0YE01,BPEMINHTA4,PV,COP
COL17CB0MHR8,BPEMINHTA4,PV,COP
COL17CB0TYO5,BPEMINHTA4,PV,COP
COL17CB0R0I8,BPEMINHTA4,PV,COP
COL40CB000L4,BPEMINHTA4,PV,COP
COL40CB000K6,BPEMINHTA4,PV,COP
COL17CB0UJ83,BPEMINHTA4,PV,COP
COL17CB0N7I7,BPEMINHTA4,PV,COP
COL17CB0N4D5,BPEMINHTA4,PV,COP
COL17CB0VLP5,BPEMINHTA4,PV,COP
COL40CB02RA7,BPEMINHTA4,PV,COP
COL17CB0MPM2,BPEMINHTA4,PV,COP
COL40CB011Z1,BPEMINHTA4,PV,COP
COL17CB0SP63,BPEISSA4,PV,COP
COL17CB0N7F3,BPEMINHTA4,PV,COP
COL17CB0TYP2,BPEMINHTA4,PV,COP
COL17CB0GFJ1,BPEMINHTA4,PV,COP
COL17CB0UG94,BPEMINHTA4,PV,COP
COL17CB0KV48,BPEMINHTA4,PV,COP
COL17CB0V2J6,BPEMINHTA4,PV,COP
COL17CB0U2E8,BPEMINHTA4,PV,COP
COL40CB04YU7,BPEMINHTA4,PV,COP
COL17CB0TBS4,BPEMINHTA4,PV,COP
COL17CB0N7K3,BPEMINHTA4,PV,COP
COL17CB0IPI8,BPEMINHTA4,PV,COP
COL17CB0SR20,BPEMINHTA4,PV,COP
COL17CB0UOZ0,BPEMINHTA4,PV,COP
COL40CB02A61,BPEMINHTA4,PV,COP
COL40CB0CX06,BPEISSA3,PV,COP
COL40CB0CWC1,BPEISSA4,PV,COP
COL17CB1BIG0,BPEMINHTA4,PV,COP
COL17CB1BCB4,BPEMINHTA4,PV,COP
COL40CB0BQJ0,BPEISSA4,PV,COP
COL40CB0CQH2,BPEISSA4,PV,COP
COL40CB0D1G8,BPEISSA4,PV,COP
COL40CB0DA51,BPEISSA3,PV,COP
COL40CB0BTE5,BPEISSA4,PV,COP
COL40CB0BU75,BPEISSA4,PV,COP
COL40CB0ANI1,BPEISSA4,PV,COP
COL17CB1BPS0,BPEMINHTA4,PV,COP
COL40CB0COF1,BPEISSA3,PV,COP
COL40CB0CHK5,BPEISSA4,PV,COP
COL40CB0CL26,BPEISSA4,PV,COP
COL40CB0BY48,BPEISSA4,PV,COP
COL40CB0DTU7,BPEISSA4,PV,COP
COL17CB1EUN5,BPEMINHTA3,PV,COP
COL40CB0DRX5,BPEISSA3,PV,COP
COL40CB0D8W0,BPEISSA4,PV,COP
COL40CB0FLH6,BPEISSA4,PV,COP
COL40CB0DVF4,BPEISSA3,PV,COP
COL40CB07GH4,BPEISSA4,PV,COP
COL17CB0ZHE8,BPEMINHTA4,PV,COP
COL40CB92956,BPEISSA4,PV,COP
COL40CB06UV8,BPEISSA4,PV,COP
COL17CB135K9,BPEMINHTA4,PV,COP
COL17CB13VO5,BPEMINHTA4,PV,COP
COL17CB12UF7,BPEMINHTA4,PV,COP
COL17CB12XE4,BPEMINHTA4,PV,COP
COL40CB07M96,BPEISSA4,PV,COP
COL17CB13T09,BPEMINHTA4,PV,COP
COL17CB13PD0,BPEMINHTA4,PV,COP
COL40CB077O6,BPEISSA4,PV,COP
COL17CB13JN2,BPEMINHTA4,PV,COP
COL40CB056B7,BPEISSA4,PV,COP
COL40CB07KP9,BPEISSA4,PV,COP
COL17CB13QK3,BPEMINHTA4,PV,COP
COL17CB13HC9,BPEMINHTA4,PV,COP
COL40CB07F04,BPEISSA4,PV,COP
COL17CB15PN4,BPEMINHTA4,PV,COP
COL40CB08O28,BPEISSA4,PV,COP
COL17CB0Q9G4,BPEMINHTA4,PV,COP
COL17CB12JH6,BPEMINHTA4,PV,COP
COL17CB13XJ1,BPEMINHTA4,PV,COP
COL40CB07PD4,BPEISSA4,PV,COP
COL40CB07F12,BPEISSA4,PV,COP
COL17CB13HE5,BPEMINHTA4,PV,COP
COL17CB10WJ9,BPEMINHTA4,PV,COP
COL40CB09GR9,BPEISSA3,PV,COP
COL40CB0BCX1,BPEISSA4,PV,COP
COL17CB14NC5,BPEMINHTA4,PV,COP
COL17CB0Z136,BPEMINHTA4,PV,COP
COL40CB07ZQ5,BPEISSA4,PV,COP
COL17CB14IC5,BPEMINHTA4,PV,COP
COL17CB165M2,BPEMINHTA4,PV,COP
COL40CB05D16,BPEISSA3,PV,COP
COL17CB0ZRI8,BPEMINHTA3,PV,COP
COL40CB09RK1,BPEISSA4,PV,COP
COL17CB17PM2,BPEMINHTA4,PV,COP
COL17CB158K1,BPEMINHTA4,PV,COP
COL40CB08F60,BPEISSA4,PV,COP
COL17CB12CG3,BPEMINHTA4,PV,COP
COL40CB07J75,BPEISSA4,PV,COP
COL17CB12ZD1,BPEMINHTA4,PV,COP
COL40CB07NJ6,BPEISSA4,PV,COP
COL17CB13UW0,BPEMINHTA4,PV,COP
COL40CB094W4,BPEISSA4,PV,COP
COL40CB083U1,BPEISSA4,PV,COP
COL40CB05LA3,BPEISSA3,PV,COP
COL17CB108R1,BPEMINHTA3,PV,COP
COL17CB13U14,BPEMINHTA4,PV,COP
COL17CB12BQ4,BPEMINHTA3,PV,COP
COL40CB09OG6,BPEISSA4,PV,COP
COL40CB07O29,BPEISSA4,PV,COP
COL40CB09ZV1,BPEISSA4,PV,COP
COL17CB14FO6,BPEMINHTA4,PV,COP
COL40CB0A1N7,BPEISSA4,PV,COP
COL17CB13SZ7,BPEMINHTA4,PV,COP
COL17CB140Z7,BPEMINHTA4,PV,COP
COL17CB135T0,BPEMINHTA4,PV,COP
COL40CB06QV6,BPEISSA4,PV,COP
COL40CB0AAL2,BPEISSA4,PV,COP
COL40CB08YA0,BPEISSA4,PV,COP
COL17CB154Q7,BPEMINHTA3,PV,COP
COL40CB09W50,BPEISSA4,PV,COP
COL40CB0BIR0,BPEISSA4,PV,COP
COL17CB1AYU0,BPEMINHTA4,PV,COP
COL40CB079V7,BPEISSA4,PV,COP
COL17CB1A1X3,BPEMINHTA4,PV,COP
COL17CB12JZ8,BPEMINHTA4,PV,COP
COL40CB06V54,BPEISSA4,PV,COP
COL17CB14EY8,BPEMINHTA4,PV,COP
COL17CB142S8,BPEMINHTA4,PV,COP
COL40CB0A346,BPEISSA4,PV,COP
COL40CB0A0Y6,BPEISSA4,PV,COP
COL40CB0AJA6,BPEISSA4,PV,COP
COL17CB1A1V7,BPEMINHTA4,PV,COP
COL40CB09Z40,BPEISSA4,PV,COP
COL17CB184R2,BPEMINHTA4,PV,COP
COL17CB11BD4,BPEMINHTA4,PV,COP
COL17CB0VPD2,BPEMINHTA4,PV,COP
COL40CB08ER6,BPEISSA4,PV,COP
COL17CB157D8,BPEMINHTA4,PV,COP
COL40CB07JZ0,BPEISSA4,PV,COP
COL17CB11S77,BPEMINHTA4,PV,COP
COL40CB06GS3,BPEISSA4,PV,COP
COL40CB08XN5,BPEISSA4,PV,COP
COL17CB16B55,BPEMINHTA4,PV,COP
COL40CB090L5,BPEISSA4,PV,COP
COL17CB14IU7,BEPMINHTA4,PV,COP
COL17CB13FT7,BPEMINHTA4,PV,COP
COL17CB14I01,BPEMINHTA4,PV,COP
COL40CB07ZH4,BPEISSA4,PV,COP
COL40CB084R5,BPEISSA4,PV,COP
COL17CB14PL1,BPEMINHTA4,PV,COP
COL17CB16FS2,BPEMINHTA4,PV,COP
COL17CB0ZN66,BPEMINHTA3,PV,COP
COL40CB06IH2,BPEISSA4,PV,COP
COL17CB11UG7,BPEMINHTA4,PV,COP
COL40CB05X46,BPEISSA4,PV,COP
COL17CB10UC8,BPEMINHTA4,PV,COP
COL17CB16ML3,BPEMINHTA3,PV,COP
COL40CB095V3,BPEISSA3,PV,COP
COL40CB08YW4,BPEISSA3,PV,COP
COL17CB16DH0,BPEMINHTA3,PV,COP
COL40CB06UB0,BPEISSA4,PV,COP
COL17CB12I94,BPEMINHTA4,PV,COP
COL17CB116Q6,BPEMINHTA4,PV,COP
COL40CB063D9,BPEISSA4,PV,COP
COL17CB10VV6,BPEMINHTA4,PV,COP
COL40CB05XX0,BPEISSA4,PV,COP
COL17CB0ZL50,BPEMINHTA4,PV,COP
COL40CB059C9,BPEISSA4,PV,COP
COL17CB11ET4,BPEMINHTA4,PV,COP
COL40CB069E4,BPEISSA4,PV,COP
COL40CB092W8,BPEISSA4,PV,COP
COL17CB16IL1,BPEMINHTA4,PV,COP
COL40CB090I1,BPEISSA4,PV,COP
COL17CB16FT0,BPEMINHTA4,PV,COP
COL17CB15XZ2,BPEMINHTA4,PV,COP
COL17CB142K5,BPEMINHTA4,PV,COP
COL40CB07RW0,BPEISSA4,PV,COP
COL40CB09MJ4,BPEISSA4,PV,COP
COL40CB0A3P8,BPEISSA4,PV,COP
COL40CB07NE7,BPEISSA4,PV,COP
COL17CB13UN9,BPEMINHTA4,PV,COP
COL17CB11H54,BPEMINHTA4,PV,COP
COL40CB06AY4,BPEISSA4,PV,COP
COL17CB13VD8,BPEMINHTA4,PV,COP
COL40CB07NT5,BPEISSA4,PV,COP
COL40CB06UU0,BPEISSA4,PV,COP
COL17CB12JG8,BPEMINHTA4,PV,COP
COL40CB05Y86,BPEISSA4,PV,COP
COL40CB09NC7,BPEISSA4,PV,COP
COL17CB16EX5,BPEMINHTA4,PV,COP
COL40CB08ZO8,BPEISSA4,PV,COP
COL17CB13UV2,BPEMINHTA4,PV,COP
COL40CB09R99,BPEISSA4,PV,COP
COL40CB07NI8,BPEISSA4,PV,COP
COL17CB150D3,BPEMINHTA4,PV,COP
COL40CB08C48,BPEISSA4,PV,COP
COL40CB06IZ4,BPEISSA4,PV,COP
COL17CB11W71,BPEMINHTA4,PV,COP
COL40CB05RX2,BPEISSA3,PV,COP
COL40CB082B3,BPEISSA3,PV,COP
COL17CB14M13,BPEMINHTA3,PV,COP
COL17CB10OW9,BPEMINHTA4,PV,COP
COL40CB05UD8,BPEISSA4,PV,COP
COL17CB10Q05,BPEMINHTA4,PV,COP
COL40CB05UT4,BPEISSA4,PV,COP
COL40CB06HW3,BPEISSA4,PV,COP
COL17CB11U57,BPEMINHTA4,PV,COP
COL40CB05TF5,BPEISSA4,PV,COP
COL40CB050W6,BPEISSA4,PV,COP
COL40CB0AK03,BPEISSA4,PV,COP
COL40CB08BH3,BPEISSA4,PV,COP
COL17CB1AMZ4,BPEMINHTA4,PV,COP
COL40CB0BBI4,BPEISSA4,PV,COP
COL17CB15V45,BPEMINHTA3,PV,COP
COL17CB14EX0,BPEMINHTA4,PV,COP
COL40CB07XV0,BPEISSA4,PV,COP
COL17CB12I37,BPEMINHTA4,PV,COP
COL40CB06U71,BPEISSA4,PV,COP
COL40CB06RH3,BPEISSA4,PV,COP
COL17CB1A9P2,BPEMINHTA4,PV,COP
COL40CB0B3R3,BPEISSA4,PV,COP
COL40CB09F02,BPEISSA4,PV,COP
COL17CB13TC4,BPEMINHTA4,PV,COP
COL40CB07MH2,BPEISSA4,PV,COP
COL40CB05IQ5,BPEISSA3,PV,COP
COL17CB100Y4,BPEMINHTA3,PV,COP
COL17CB13O87,BPEMINHTA4,PV,COP
COL17CB0XQE4,BPEMINHTA4,PV,COP
COL40CB03TP9,BPEISSA4,PV,COP
COL40CB074Z9,BPEISSA4,PV,COP
COL40CB0ANC4,BPEISSA4,PV,COP
COL17CB14W11,BPEMINHTA4,PV,COP
COL40CB05WR4,BPEISSA4,PV,COP
COL17CB14BH9,BPEMINHTA3,PV,COP
COL40CB07W03,BPEISSA3,PV,COP
COL40CB05FV1,BPEISSA4,PV,COP
COL17CB16L95,BPEMINHTA4,PV,COP
COL17CB14N87,BPEMINHTA4,PV,COP
COL40CB07N12,BPEISSA4,PV,COP
COL17CB113F6,BPEMINHTA4,PV,COP
COL40CB061K8,BPEISSA4,PV,COP
COL40CB07YO3,BPEISSA4,PV,COP
COL17CB14G86,BPEMINHTA4,PV,COP
COL17CB157C0,BPEMINHTA3,PV,COP
COL40CB08EQ8,BPEISSA3,PV,COP
COL40CB06QJ1,BPEISSA3,PV,COP
COL40CB09GK4,BPEISSA4,PV,COP
COL40CB0APL0,BPEISSA3,PV,COP
COL40CB04X13,BPEISSA3,PV,COP
COL40CB04YY9,BPEISSA4,PV,COP
COL17CB0Z987,BPEMINHTA4,PV,COP
COL17CB18NM5,BPEMINHTA3,PV,COP
COL40CB072R0,BPEISSA4,PV,COP
COL17CB12WB2,BPEMINHTA4,PV,COP
COL17CB14C98,BPEMINHTA4,PV,COP
COL40CB07WG3,BPEISSA4,PV,COP
COL40CB0A4D2,BPEISSA4,PV,COP
COL40CB08D13,BPEISSA4,PV,COP
COL40CB05WQ6,BPEISSA4,PV,COP
COL17CB10TP2,BPEMINHTA4,PV,COP
COL40CB061M4,BPEISSA4,PV,COP
COL40CB094T0,BPEISSA4,PV,COP
COL17CB16L46,BPEMINHTA4,PV,COP
COL40CB0ALN5,BPEISSA4,PV,COP
COL40CB0ANE0,BPEISSA4,PV,COP
COL17CB1ALX1,BPEMINHTA4,PV,COP
COL40CB08AJ1,BPEISSA4,PV,COP
COL40CB09RF1,BPEISSA4,PV,COP
COL40CB07U54,BPEISSA4,PV,COP
COL17CB156E8,BPEMINHTA3,PV,COP
COL40CB08EC8,BPEISSA3,PV,COP
COL17CB1A822,BPEMINHTA4,PV,COP
COL40CB0B2Y1,BPEISSA4,PV,COP
COL40CB07YB0,BPEISSA4,PV,COP
COL40CB05PA4,BPEMINHTA4,PV,COP
COL17CB10GA1,BPEMINHTA4,PV,COP
COL17CB10D83,BPEMINHTA3,PV,COP
COL40CB05IJ0,BPEMINHTA4,PV,COP
COL17CB100O5,BPEMINHTA4,PV,COP
COL40CB05Q29,BPEMINHTA4,PV,COP
COL17CB10HI2,BPEMINHTA4,PV,COP
COL40CB05MG8,BPEMINHTA4,PV,COP
COL17CB16FO1,BPEMINHTA4,PV,COP
COL40CB08XC8,BPEISSA4,PV,COP
COL17CB10E74,BPEMINHTA4,PV,COP
COL40CB090G5,BPEISSA4,PV,COP
COL40CB05JC3,BPEISSA4,PV,COP
COL17CB102S2,BPEMINHTA4,PV,COP
COL17CB16EE5,BPEMINHTA4,PV,COP
COL40CB09MK2,BPEISSA4,PV,COP
COL40CB09BV2,BPEISSA4,PV,COP
COL40CB0BCI2,BPEISSA4,PV,COP
COL17CB17I73,BPEMINHTA4,PV,COP
COL40CB062C3,BPEISSA4,PV,COP
COL17CB114J6,BPEMINHTA4,PV,COP
COL40CB07Y01,BPEISSA4,PV,COP
COL17CB0ZWA5,BPEMINHTA4,PV,COP
COL40CB05GA3,BPEISSA4,PV,COP
COL17CB0ZT52,BPEMINHTA4,PV,COP
COL17CB12A50,BPEMINHTA4,PV,COP
COL40CB08AT0,BPEISSA3,PV,COP
COL40CB083D7,BPEISSA3,PV,COP
COL17CB11W89,BPEMINHTA4,PV,COP
COL17CB15LE2,BPEMINHTA4,PV,COP
COL17CB124E6,BPEMINHTA3,PV,COP
COL40CB06N54,BPEISSA3,PV,COP
COL40CB098E3,BPEISSA4,PV,COP
COL17CB16RL2,BPEMINHTA4,PV,COP
COL40CB097Y3,BPEISSA4,PV,COP
COL17CB14T57,BPEMINHTA4,PV,COP
COL40CB07Y27,BPEISSA4,PV,COP
COL17CB16CC3,BPEMINHTA4,PV,COP
COL17CB18HP0,BPEMINHTA4,PV,COP
COL17CB16HJ7,BPEMINHTA4,PV,COP
COL17CB13HH8,BPEMINHTA4,PV,COP
COL40CB07F38,BPEISSA4,PV,COP
COL40CB09S80,BPEISSA4,PV,COP
COL40CB05Y78,BPEISSA3,PV,COP
COL17CB10WI1,BPEMINHTA3,PV,COP
COL40CB065K9,BPEISSA4,PV,COP
COL17CB0ZR21,BPEMINHTA4,PV,COP
COL17CB15JV0,BPEMINHTA4,PV,COP
COL40CB08KM4,BPEISSA4,PV,COP
COL40CB092V0,BPEISSA4,PV,COP
COL17CB16IK3,BPEMINHTA4,PV,COP
COL17CB16P67,BPEMINHTA4,PV,COP
COL17CB177A2,BPEMINHTA4,PV,COP
COL40CB0AQ23,BPEISSA4,PV,COP
COL40CB090E0,BPEISSA4,PV,COP
COL40CB0BAX5,BPEISSA4,PV,COP
COL17CB17RY3,BPEMINHTA4,PV,COP
COL40CB09SS2,BPEISSA4,PV,COP
COL17CB0ZVT7,BPEMINHTA4,PV,COP
COL17CB12A35,BPEMINHTA4,PV,COP
COL40CB06S26,BPEISSA3,PV,COP
COL17CB12CO7,BPEMINHTA3,PV,COP
COL17CB11OL0,BPEMINHTA4,PV,COP
COL40CB06EZ3,BPEISSA4,PV,COP
COL40CB0ALF1,BPEISSA3,PV,COP
COL40CB08Z41,BPEISSA4,PV,COP
COL17CB16DT5,BPEMINHTA4,PV,COP
COL17CB0ZC44,BPEMINHTA4,PV,COP
COL17CB0GFL7,BPEMINHTA4,PV,COP
